,dateList,unitnetvalueList,netvalueList
0,2018-03-30,1.1151,1.1402
1,2018-03-29,1.1141,1.1392
2,2018-03-28,1.1148,1.1399
3,2018-03-27,1.1146,1.1397
4,2018-03-26,1.1151,1.1402
5,2018-03-23,1.1153,1.1404
6,2018-03-22,1.1141,1.1392
7,2018-03-21,1.1133,1.1384
8,2018-03-20,1.1131,1.1382
9,2018-03-19,1.113,1.1381
10,2018-03-16,1.1127,1.1378
11,2018-03-15,1.1121,1.1372
12,2018-03-14,1.1119,1.137
13,2018-03-13,1.112,1.1371
14,2018-03-12,1.1121,1.1372
15,2018-03-09,1.1117,1.1368
16,2018-03-08,1.1114,1.1365
17,2018-03-07,1.1113,1.1364
18,2018-03-06,1.1114,1.1365
19,2018-03-05,1.1107,1.1358
20,2018-03-02,1.1104,1.1355
21,2018-03-01,1.1102,1.1353
22,2018-02-28,1.1102,1.1353
23,2018-02-27,1.1101,1.1352
24,2018-02-26,1.1101,1.1352
25,2018-02-23,1.11,1.1351
26,2018-02-22,1.1098,1.1349
27,2018-02-14,1.1097,1.1348
28,2018-02-13,1.1095,1.1346
29,2018-02-12,1.1095,1.1346
30,2018-02-09,1.1089,1.134
31,2018-02-08,1.1088,1.1339
32,2018-02-07,1.1087,1.1338
33,2018-02-06,1.1093,1.1344
34,2018-02-05,1.1094,1.1345
35,2018-02-02,1.1093,1.1344
36,2018-02-01,1.1092,1.1343
37,2018-01-31,1.1092,1.1343
38,2018-01-30,1.1092,1.1343
39,2018-01-29,1.1089,1.134
40,2018-01-26,1.024,1.0491
41,2018-01-25,1.0029,1.028
42,2018-01-24,1.0029,1.028
43,2018-01-23,1.0278,1.0278
44,2018-01-22,1.0277,1.0277
45,2018-01-19,1.0273,1.0273
46,2018-01-18,1.0271,1.0271
47,2018-01-17,1.027,1.027
48,2018-01-16,1.0271,1.0271
49,2018-01-15,1.0269,1.0269
50,2018-01-12,1.0265,1.0265
51,2018-01-11,1.0266,1.0266
52,2018-01-10,1.0267,1.0267
53,2018-01-09,1.0268,1.0268
54,2018-01-08,1.0269,1.0269
55,2018-01-05,1.0265,1.0265
56,2018-01-04,1.026,1.026
57,2018-01-03,1.0257,1.0257
58,2018-01-02,1.0254,1.0254
